INDEX | VALUE                               | PARENT | SIBLING
1     | E                                   | 0      | 0
2     | T                                   | 1      | 0
3     | E'                                  | 1      | 2
4     | F                                   | 2      | 0
5     | T'                                  | 2      | 4
6     | id                                  | 4      | 0
7     | *                                   | 5      | 0
8     | F                                   | 5      | 7
9     | T'                                  | 5      | 8
10    | id                                  | 8      | 0
11    | +                                   | 9      | 0
12    | T                                   | 9      | 11
13    | E'                                  | 9      | 12
14    | F                                   | 12     | 0
15    | T'                                  | 12     | 14
16    | id                                  | 14     | 0
